Refdes, Pin, Part Name, Value
U2A5,P5,IPD031-201,
DS2A1,1,E16297-001,
J4A1,1,G84017-001,
J1A6,3,A91829-001,
J2A1,4,G79625-001,
U2M1,A2,G94441-001,
EU1,2,H18588-001,
CR3A1,3,C52251-001,
U2A3,10,E17764-001,
U2L1,A2,G94441-001,
